1|Агентство по страхованию вкладов (АСВ)| — российская государственная корпорация, созданная по Федеральному закону от 23.12.2003 № 177-ФЗ «О страховании вкладов физических лиц в банках Российской Федерации» для страхования вкладов населения. Участие в системе страхования обязательно для всех банков, имеющих право на работу с частными вкладами, а вклады считаются застрахованными со дня включения банка в реестр банков — участников системы обязательного страхования вкладов.|Термин|Планирование доходов|0|0|1||0
2|Активы| — совокупность имущества и денежных средств, принадлежащих физическому или юридическому лицу, любая собственность, имеющая какую-либо экономическую ценность и (или) способная приносить выгоду в будущем.|Термин|Планирование доходов|0|0|1||0
3|Ассигнация| — первые русские бумажные деньги, появившиеся в России в 1769 году в связи с изъятием из обращения золота в качестве денег. Выпускались до 1849 года. В настоящее время понятие используется в России как неофициальное обозначение бумажных денег.|Термин|Планирование доходов|0|0|1||0
4|Банкнота| — денежный документ, выпущенный банком и гарантирующий, что его владелец вправе получить в банке на определенную сумму отчеканенных государством монет или золота. |Термин|Планирование доходов|0|0|1||0
5|Банковская карта |— пластиковая карточка, с помощью которой человек со своего счета снимает деньги (или, наоборот, пополняет счет) через банкомат или интернет, расплачивается в кафе, магазинах и т. п. Банковская карта привязана к одному или нескольким счетам в банке, принадлежащим одному клиенту банка. |Термин|Планирование доходов|0|0|1||0
6|Банкомат| — банковское устройство, обычно установленное снаружи помещения какого-либо коммерческого банка и предназначенное для автоматизированного снятия со своего текущего счета наличных денег, для внесения денег на счет, а также для проведения безналичных платежей, переводов денежных средств и получения информации о состоянии своего счета — как правило, с использованием банковских карт.|Термин|Планирование доходов|0|0|1||0
7|Бартер| — натуральный обмен товаров и услуг на другие товары или услуги без выплаты денег, торговая сделка, осуществляемая по схеме «товар — товар».|Термин|Планирование доходов|0|0|1||0
8|Бедность| — ситуация, когда у человека есть постоянное жилье, хотя, возможно, и более чем скромное. При этом его денежные доходы так малы, что он вынужден ограничивать себя даже в еде, приобретая только самые дешевые продукты питания, и испытывает постоянную нехватку денег на покупку одежды, обуви и лекарств.|Термин|Планирование доходов|0|0|1||0
9|Безналичные деньги| — денежные средства, которые хранятся на том или ином виде счета в банке и используются для расчетов. При этом расчеты, оплата товаров и услуг производятся посредством перечислений с одного счета на другой. Могут быть обналичены — то есть сняты со счета и выданы клиенту в виде наличных денег в кассе банка или при помощи банкомата.|Термин|Планирование доходов|0|0|1||0
10|Безработица| — ситуация в экономике, когда люди, которые хотят и могут работать, не имеют работы и ищут ее. Уровень безработицы определяется как доля безработных среди работоспособного населения.|Термин|Планирование доходов|0|0|1||0
11|Биржа |— форма оптового рынка товаров, валюты, ценных бумаг.|Термин|Планирование доходов|0|0|1||0
12|Биткоин| — первая, самая известная и успешная форма криптовалюты, на основе которой создавались последующие версии такого рода денег.|Термин|Планирование доходов|0|0|1||0
13|Благосостояние| — обеспеченность населения или определенной социальной группы, семьи или отдельной личности материальными, социальными и духовными благами.|Термин|Планирование доходов|0|0|1||0
14|Богатство| — ситуация, при которой денежные доходы позволяют удовлетворять практически все типы потребностей человека.|Термин|Планирование доходов|0|0|1||0
15|Бумажные деньги |— денежные знаки, отпечатанные на специальной бумаге, которым государство придает силу официальных денег. Бумажные деньги являются, по существу, декретными (условными) деньгами, т. к. их подлинная стоимость, измеряемая затратами на изготовление бумажного знака, банкноты, намного ниже указанного на знаке номинала. Бумажные деньги используются благодаря их дешевизне и удобству обращения. В процессе исторического развития бумажные деньги заменили в обращении металлические. Бумажные деньги печатаются на специальной бумаге, имеют несколько степеней защиты от подделки.|Термин|Планирование доходов|0|0|1||0
16|Валюта| — денежная единица страны.|Термин|Планирование доходов|0|0|1||0
17|Валютный курс |— цена одной валюты, выраженная в другой валюте. Для участника обмена валютный курс выглядит как коэффициент пересчета одной валюты в другую.|Термин|Планирование доходов|0|0|1||0
18|Выручка| — доход продавца от продажи товаров или услуг.|Термин|Планирование доходов|0|0|1||0
19|Государственные деньги |— деньги, выпускаемые главным банком государства.|Термин|Планирование доходов|0|0|1||0
20|Государственный бюджет |— план доходов и расходов государства на определенный период времени. Доходы государства складываются из налогов на имущество, подоходных налогов на физических лиц, налогов с оборота (налога на добавленную стоимость), таможенных, акцизных и других сборов, а также штрафов, пеней и других платежей. Расходы государства состоят из затрат на социальные программы, оплату услуг государственного аппарата, расходов на оборону и прочих статей.|Термин|Планирование доходов|0|0|1||0
21|Государство| — с экономической точки зрения особый субъект хозяйственной жизни, которому общество передает часть своих прав в некоторых сферах. Во всех этих сферах государство получает право на основании законов осуществлять принуждение к исполнению общепринятых правил. В сфере экономики государство — это, прежде всего, верховный защитник прав собственности.|Термин|Планирование доходов|0|0|1||0
22|Девальвация |— падение стоимости национальной валюты относительно стоимости золота или других валют.|Термин|Планирование доходов|0|0|1||0
23|Денежная масса |— совокупность всех наличных и безналичных денег, находящихся в обращении в стране — на руках у населения и в распоряжении финансовых организаций.|Термин|Планирование доходов|0|0|1||0
24|Деноминация| — денежная реформа, обмен старых денежных знаков на новые, обычно имеющие меньший номинал. Деноминация проводится правительствами с целью упрощения расчетов и придания большей полноценности обесцененной национальной валюте, обычно — после гиперинфляции, когда населению в повседневных платежах приходится оперировать миллионами обесценившихся денег. При деноминации в назначенное время правительство выводит на рынок новые купюры и изымает старые, иногда — в течение нескольких недель. В этом случае за данный период все население должно успеть прийти в банк и обменять все свои наличные средства (деньги на счетах заменяются автоматически).|Термин|Планирование доходов|0|0|1||0
25|Деньги| — универсальный товар, который может быть использован и для оплаты покупок других товаров (средство обмена), и для измерения ценности материальных благ (мера стоимости), и для осуществления платежей (долги, налоги), и для накопления (средство сбережения). |Термин|Планирование доходов|0|0|1||0
26|Дефицит| — недостаточность средств, ресурсов в сравнении с ожидаемым или необходимым уровнем. Применительно к бюджету дефицитом называют превышение расходов над доходами.|Термин|Планирование доходов|0|0|1||0
27|Дефляция |— последовательное протяженное во времени падение уровня цен. Это падение цен может вызвать снижение объема инвестиций в экономику, что, в свою очередь, приводит к дополнительному падению спроса и стимулирует дальнейшее падение цен на товары и сокращение объемов производства.|Термин|Планирование доходов|0|0|1||0
28|Доходность| — в общем случае — способность актива увеличивать свою стоимость во времени. Применительно к банковским вкладам, ценным бумагам и прочим финансовым инструментам — характеристика бумаги, отражающая соотношение дохода и базовой стоимости. Выражается обычно в процентах годовых.|Термин|Планирование доходов|0|0|1||0
29|Зажиточность| — ситуация, при которой денежные доходы позволяют получать весь набор товаров и услуг, необходимых для поддержания здоровья или его восстановления в случае болезни. Человек способен приобрести (возможно, с помощью кредита) легковой автомобиль и новое просторное жилье, а часть доходов может сберечь на будущее.|Термин|Планирование доходов|0|0|1||0
30|Импорт| — ввоз иностранных товаров из-за границы для переработки/реализации внутри страны; может относиться и к услугам, и к работам, и к объектам интеллектуальной собственности.|Термин|Планирование доходов|0|0|1||0
31|Индекс потребительских цен |— показатель изменения среднего уровня цен на товары и услуги за определенный период.|Термин|Планирование доходов|0|0|1||0
32|Интернет-банк |— система удаленного доступа и управления своими банковскими счетами через интернет. Доступ с использованием индивидуального пароля клиент получает как со своего компьютера, так и с мобильных устройств, а денежные операции совершаются на сервере банка. |Термин|Планирование доходов|0|0|1||0
